,cc1 lcu amount,cc1 denomination amount,cc1 lcu fee,cc1 lcu fx rate,cc1 fx margin,cc1 total cost %,inter lcu bank fx,period_2011_1Q,period_2011_3Q,period_2012_1Q,period_2012_3Q,period_2013_1Q,period_2013_2Q,period_2013_3Q,period_2013_4Q,period_2014_1Q,period_2014_2Q,period_2014_3Q,period_2014_4Q,period_2015_1Q,period_2015_2Q,period_2015_3Q,period_2015_4Q,period_2016_1Q,period_2016_2Q,period_2016_3Q,period_2016_4Q,period_2017_1Q,period_2017_2Q,period_2017_3Q,period_2017_4Q,period_2018_1Q,period_2018_2Q,period_2018_3Q,period_2018_4Q,source_income_High income,source_income_High income: OECD,destination_income_Low income,destination_income_Lower middle income,destination_income_Upper middle income,firm_Acceso OAS Credit Union,firm_AisRemesasCuba.com,firm_AisRemesasCuba.com ,firm_Alante Financial,firm_BHD Remesas Dominicana,firm_Banco Agricola,firm_Bancomer Transfer Services,firm_Bancomercio,firm_Bancuscatlan,firm_Bank of America,firm_Banrural Corp.,firm_CAM,firm_Casa de cambio Delgado,firm_Cibao,firm_Citibank,firm_Delgado Travel,firm_Dinero Express,firm_Dolex Dollar Express,firm_Duales,firm_Envios 22-24,firm_Envios de Dinero G&T Continental,firm_Envios de Valores La Nacional,firm_Ficohsa Express,firm_Girosol,firm_Global Money Remittance,firm_Globo Travel 'n' Tours,firm_Go Vianex,firm_Intertransfers,firm_Jamaica National,firm_Jet Peru,firm_La Nacional,firm_Laparkan,firm_Maniflo,firm_MoneyGram,firm_Order Express,firm_Orlandi Valuta,firm_Pangea,firm_Quisqueyana,firm_Remesas Pujols,firm_Remesas Quisqueyana,"firm_Remesas Quisqueyana, Inc.",firm_Remitly,firm_Ria,firm_Samso's Express Money Transfer,firm_Sendvalu,firm_ShareMoney,firm_Sigue,firm_Sigue Money Transfers,firm_Small World,firm_Small World FS-Choice,firm_South Exchange,firm_Trans-Fast,firm_Ulink,firm_Uniteller,firm_Unitransfer,firm_Uno Money Transfer (Omnex Group),firm_Viamericas,firm_Vianex,firm_Vigo,firm_Walmart2World,firm_Wells Fargo,firm_Western Union,firm_Xoom,firm_cash2cuban.com,firm_iKobo,firm_type_Bank,firm_type_Credit Union,firm_type_Money Transfer Operator,firm_type_Money Transfer Operator / Building Society,firm_type_Non-Bank FI,payment instrument_0,payment instrument_Account to account,payment instrument_Account to account (other bank),payment instrument_Account to account (same bank),payment instrument_Account to cash,"payment instrument_Account,Account to cash","payment instrument_Account,Cash to cash",payment instrument_Bank account transfer,"payment instrument_Bank account transfer,Cash","payment instrument_Bank account transfer,Debit/credit card",payment instrument_Cash,payment instrument_Cash to account,payment instrument_Cash to account (other bank),payment instrument_Cash to cash,"payment instrument_Cash to cash,Credit/debit card service","payment instrument_Cash,Cash to account","payment instrument_Cash,Debit/credit card",payment instrument_Credit/debit card service,payment instrument_Debit card,payment instrument_Debit/credit card,payment instrument_Door to door,payment instrument_Home delivery,payment instrument_LCU service,payment instrument_Mobile,payment instrument_Online service,payment instrument_USD service,access point_Agent,"access point_Agent,Internet",access point_Bank branch,"access point_Bank branch,Call Center","access point_Bank branch,Internet",access point_Call Center,access point_Internet,access point_Not available,access point_On-line,access point_at Branch,"access point_at Branch,Call Center","access point_at Branch,On-line",speed actual_2 days,speed actual_3-5 days,speed actual_6 days or more,speed actual_Less than one hour,speed actual_Next day,speed actual_Same day,transparent_no,transparent_yes,receiving network coverage_High,receiving network coverage_Low,receiving network coverage_Main city,receiving network coverage_Medium,receiving network coverage_Nationwide,receiving network coverage_Rural only,receiving network coverage_Urban only,corridor_USABRA,corridor_USACOL,corridor_USACRI,corridor_USACUB,corridor_USADOM,corridor_USAECU,corridor_USAGTM,corridor_USAGUY,corridor_USAHND,corridor_USAHTI,corridor_USAJAM,corridor_USAMEX,corridor_USANIC,corridor_USAPAN,corridor_USAPER,corridor_USASLV
0,200.0,200.0,4.99,3.41,1.45,3.94,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,200.0,200.0,4.99,3.41,1.45,3.94,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,200.0,200.0,5.99,3.41,1.45,4.44,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,200.0,200.0,5.0,3.43,0.87,3.37,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,200.0,200.0,5.0,3.43,0.87,3.37,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,200.0,200.0,4.99,3.41,1.45,3.94,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,200.0,200.0,8.0,3.43,0.87,4.87,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,200.0,200.0,9.99,3.32,4.05,9.04,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,200.0,200.0,12.0,3.43,0.87,6.87,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,200.0,200.0,10.0,3.32,4.05,9.05,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
